category;roomsCount;bathroomsCount;surface;listingType;price;city;region
Land and Farms;-1.0;-1.0;-1.0;For Sale;100000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;316000.0;Ariana;Autres villes
Appartements;2.0;1.0;80.0;For Rent;380.0;Ariana;Autres villes
Vacation Rentals;1.0;1.0;90.0;For Rent;70.0;Ariana;Autres villes
Appartements;2.0;2.0;113.0;For Sale;170000.0;Ariana;Ariana Ville
Vacation Rentals;1.0;1.0;70.0;For Rent;80.0;Ariana;Autres villes
Appartements;2.0;1.0;100.0;For Rent;670.0;Ariana;Borj Louzir
Shops;2.0;1.0;20.0;For Rent;650.0;Ariana;Borj Louzir
Land and Farms;-1.0;-1.0;-1.0;For Sale;180000.0;Ariana;Autres villes
Shops;1.0;1.0;40.0;For Rent;450.0;Ariana;Ariana Ville
Houses and Villas;4.0;2.0;1208.0;For Sale;700000.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;600000.0;Ariana;La Soukra
Houses and Villas;5.0;3.0;220.0;For Rent;2000.0;Ariana;Chotrana
Appartements;3.0;2.0;138.0;For Sale;340000.0;Ariana;Jardins D'el Menzah
Houses and Villas;2.0;1.0;150.0;For Sale;120000.0;Ariana;Raoued
Appartements;3.0;1.0;180.0;For Rent;300.0;Ariana;Borj Louzir
Appartements;3.0;1.0;250.0;For Rent;500.0;Ariana;Ariana Ville
Land and Farms;-1.0;-1.0;-1.0;For Sale;350000.0;Ariana;Sidi Thabet
Appartements;2.0;1.0;80.0;For Sale;230000.0;Ariana;Ennasr
Shops;1.0;1.0;20.0;For Sale;55000.0;Ariana;Borj Louzir
Appartements;2.0;1.0;80.0;For Rent;400.0;Ariana;Ghazela
Appartements;4.0;2.0;200.0;For Sale;440000.0;Ariana;Ennasr
Houses and Villas;4.0;2.0;130.0;For Sale;125000.0;Ariana;Autres villes
Houses and Villas;2.0;1.0;150.0;For Sale;170000.0;Ariana;Ghazela
Appartements;4.0;1.0;160.0;For Sale;310000.0;Ariana;Autres villes
Appartements;2.0;1.0;89.0;For Sale;136000.0;Ariana;Borj Louzir
Appartements;2.0;1.0;94.0;For Sale;185000.0;Ariana;La Soukra
Appartements;1.0;1.0;79.0;For Sale;146150.0;Ariana;Ghazela
Land and Farms;-1.0;-1.0;-1.0;For Sale;420000.0;Ariana;La Soukra
